Company,Position,Submit Date,OA,Status,Address,Referral Code,Details,Job Code
OpenAI,"Software Engineer, Real Time",2025-11-20,None,Submitted,Submitted request for full-time position,NO,,
Docusign,"
Software Engineering Intern",2025-11-20,None,Submitted,https://uscareers-docusign.icims.com/jobs/dashboard,NO,,2025-28179
,"
Software Engineering Intern",2025-12-16,None,Submitted,https://uscareers-docusign.icims.com/jobs/dashboard,NO,,2025-28330
Braze,"
Software Engineering Intern",2025-12-18,None,Submitted,https://my.greenhouse.io/applications/23963674,NO,,
Cisco,Splunk - Frontend - Software Engineer II (Intern) - United States,2025-11-20,None,Rejected,https://careers.cisco.com/global/en/candidatehub?phmt=AQICAHiKv2_vFeOOjLNKUuA77bbMR5BTLFoh3UVoN_LW32bA2gH0RSHHGve_A6DdSDQs5KmKAAAAazBpBgkqhkiG9w0BBwagXDBaAgEAMFUGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM_nqx-NalXtolRqH7AgEQgCjsfE35ALJbZ80BLWkOmAZZrKeGurJ_89lJZGdSSe8rOpdgiBFTFWjk,NO,Filled position,
Direct Supply,Web Development Intern,2025-12-18,None,Submitted,https://directsupply.wd501.myworkdayjobs.com/en-US/direct-supply-careers/userHome,NO,,
,Software Engineer Intern,2025-12-18,None,Submitted,https://directsupply.wd501.myworkdayjobs.com/en-US/direct-supply-careers/userHome,NO,,
Dropbox,Software Engineer Intern Summer,2026-1-2,None,Rejected,,YES,,
Paramount,Software Engineer Intern Summer,2026-1-4,None,Reaching out referral,https://career41.sapsf.com/portalcareer?_s.crb=myWQ1sM%252b%252fWYEAFHBLTrag0%252baISUbx%252ftKhc8jrWTRRaw%253d,NO,10 months,
GoFundMe,Backend Software Engineer Intern,2026-1-7,None,Submitted,https://my.greenhouse.io/applications/18826806,NO,5/27 - 8/7,
SUNO,Software Engineering Internship - Summer 2026,2026-1-7,None,Rejected,https://jobs.ashbyhq.com/suno/35b8b187-b136-4bf6-af4d-b28ff892dc53/application,NO,,
Tesla,"Internship, Frontend Engineer, Applications Engineering (Summer 2026)",2026-1-7,None,Reaching out referral,https://profile.tesla.com/en-US/candidate-dashboard/home,NO,"Best Portal design for now
very minimal",258953
Decagon,Agent Software Engineer - Intern (Summer 2026),2026-1-7,None,Submitted,,NO,,
Airbnb,Software Engineering Intern,2026-1-13,None,Rejected,https://my.greenhouse.io/applications/18826806,NO,,
TikTok, Software Engineer Intern (Ads Infrastructure) - 2026 Summer (BS/MS),2026-1-15,None,Submitted,with phone num +86,YES,Cited from xhs,lizitongblue@gamil.com
Tinder, Backend Engineer Intern,2026-1-15,None,Submitted,https://jobs.lever.co/matchgroup/m/4a12e4f3-3c0c-4c32-9dca-4296b68f596e,NO,,
ALSO.,"Software Engineering Intern, Wearables - Summer 2026",2026-1-15,None,Submitted,,NO,,
Domino,"Software Engineer, Intern - Campus Recruiting 2026",2026-1-15,None,Submitted,https://my.greenhouse.io/applications/18826806,NO,,
CLEAR,"
Software Engineering Intern (Summer 2026)",2026-1-20,None,Submitted,https://my.greenhouse.io/applications/18464692,NO,,
